id_stat,nb_tests,nb_vaccinations
6390,4930.0,NULL
6391,5069.0,NULL
6392,4838.0,NULL
6393,3994.0,NULL
6394,3299.0,NULL
6395,3663.0,NULL
6396,4120.0,NULL
6397,4782.0,NULL
6398,4914.0,NULL
6399,5538.0,NULL
6400,4562.0,NULL
6401,3132.0,NULL
6402,4265.0,NULL
6403,4654.0,NULL
6404,5357.0,NULL
6405,5053.0,NULL
6406,5399.0,NULL
6407,5140.0,NULL
6408,2660.0,NULL
6409,4842.0,NULL
6410,5778.0,NULL
6411,6353.0,NULL
6412,6654.0,NULL
6413,7397.0,NULL
6414,6506.0,NULL
6415,4424.0,NULL
6416,4754.0,NULL
6417,6431.0,NULL
6418,7697.0,NULL
6419,8305.0,NULL
6420,8359.0,NULL
6421,8209.0,NULL
6422,5621.0,NULL
6423,7584.0,NULL
6424,9203.0,NULL
6425,8977.0,NULL
6426,9618.0,NULL
6427,10069.0,NULL
6428,8260.0,NULL
6429,5389.0,NULL
6430,7765.0,NULL
6431,8866.0,NULL
6432,8979.0,NULL
6433,9318.0,NULL
6434,10111.0,NULL
6435,9898.0,NULL
6436,5901.0,NULL
6437,8511.0,NULL
6438,10335.0,NULL
6439,11986.0,NULL
6440,10999.0,NULL
6441,10226.0,NULL
6442,9581.0,NULL
6443,6708.0,NULL
6444,10121.0,NULL
6445,12247.0,NULL
6446,12541.0,NULL
6447,12420.0,NULL
6448,13641.0,NULL
6449,12392.0,NULL
6450,8453.0,NULL
6451,12309.0,NULL
6452,14126.0,NULL
6453,15202.0,NULL
6454,14868.0,NULL
6455,15520.0,NULL
6456,13070.0,NULL
6457,9587.0,NULL
6458,13406.0,NULL
6459,15917.0,NULL
6460,16840.0,NULL
6461,16472.0,NULL
6462,17881.0,NULL
6463,13408.0,NULL
6464,11632.0,NULL
6465,15418.0,NULL
6466,18436.0,NULL
6467,19539.0,NULL
6468,19712.0,NULL
6469,20172.0,NULL
6470,17428.0,NULL
6471,11517.0,NULL
6472,17767.0,NULL
6473,21239.0,NULL
6474,21100.0,NULL
6475,20609.0,NULL
6476,21180.0,NULL
6477,18279.0,NULL
6478,11573.0,NULL
6479,14379.0,NULL
6480,17289.0,NULL
6481,19716.0,NULL
